year,unitid,inst_name,state_name,inst_control,institution_level,hbcu,urban_centric_locale,rev_tuition_fees_gross,rev_total_current,exp_instruc_total,exp_total_current
2012,163453,Morgan State University,Maryland,Public,Four or more years,Yes,"City, large",55237080,201713088,64194600,203403808
2012,163462,Mount St Mary's University,Maryland,Private not-for-profit,Four or more years,No,"Town, fringe",63695876,66716912,20103184,64918492
2012,163532,Ner Israel Rabbinical College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",3739272,7976090,2417519,10764826
2012,163578,Notre Dame of Maryland University,Maryland,Private not-for-profit,Four or more years,No,"City, large",40641444,49640472,19838754,41024920
2012,163842,St Mary's Seminary & University,Maryland,Private not-for-profit,Four or more years,No,"City, large",,,,
2012,163851,Salisbury University,Maryland,Public,Four or more years,No,"Suburb, small",62747560,156396944,55759210,143457440
2012,163912,St Mary's College of Maryland,Maryland,Public,Four or more years,No,"Suburb, small",30518006,68719320,26827244,66366780
2012,163921,Sojourner-Douglass College,Maryland,Private not-for-profit,Four or more years,No,"City, large",24906110,28987548,6057220,34103588
2012,163976,St John's College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",21241350,34215516,10226245,29121652
2012,164076,Towson University,Maryland,Public,Four or more years,No,"City, small",166480352,379125920,116168800,344430464
2012,164085,Maryland University of Integrative Health,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",8019893,6641684,2632316,8721272
2012,164146,University System of Maryland,Maryland,Public,Four or more years,No,"Suburb, large",,43892816,,26637210
2012,164155,United States Naval Academy,Maryland,Public,Four or more years,No,"Suburb, large",,451384800,177746530,449765216
2012,164173,Stevenson University,Maryland,Private not-for-profit,Four or more years,No,"Rural, fringe",82481784,101191664,33154888,87655760
2012,164207,Washington Bible College-Capital Bible Seminary,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",,,,
2012,164216,Washington College,Maryland,Private not-for-profit,Four or more years,No,"Town, distant",58231524,87706664,21285028,63720944
2012,164270,McDaniel College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, small",65610000,71328000,22609000,60987000
2012,369817,Bethel Seminary of the East,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",536570,826581,237690,941781
2012,404480,University System of Maryland Research Centers,Maryland,Public,Four or more years,No,"Suburb, large",,45833452,,47588576
2012,430184,Strayer University-Maryland,Maryland,Private for-profit,Four or more years,No,"Suburb, large",51956724,48104376,5506789,32546928
2012,434034,National Labor College,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",3123021,12203330,6059538,15180683
2012,434937,Yeshiva College of the Nations Capital,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",429525,6395917,563861,6656164
2012,434973,University of Phoenix-Maryland Campus,Maryland,Private for-profit,Four or more years,No,"City, small",6759793,7064393,1275124,9367286
2012,439330,DeVry University-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",,,,
2012,446394,Maple Springs Baptist Bible College and Seminary,Maryland,Private not-for-profit,Four or more years,No,"Suburb, large",210567,300313,98217,321937
2012,446914,ITT Technical Institute-Owings Mills,Maryland,Private for-profit,Four or more years,No,"Suburb, large",18198178,17752792,3089127,9324832
2012,462080,DeVry University's Keller Graduate School of Management-Maryland,Maryland,Private for-profit,Four or more years,No,"City, small",,,,
2012,462372,ITT Technical Institute-Hanover,Maryland,Private for-profit,Four or more years,No,"Suburb, large",2996990,2996990,406947,3201931
